centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
1146721,3850.3,3850.3,,359.0,290.0,,,,
1146723,821.7,821.7,,80.0,63.0,32.8,41.8,46.3,
1146741,25549.0,25549.0,,1642.0,2369.0,,,,
1146756,933.7,933.7,,57.0,78.0,22.0,32.6,34.8,
1146774,356.7,347.5,375.0,21.0,33.0,24.6,32.9,36.7,
1146779,7497.0,7497.0,,452.0,678.0,,,,
1146793,13633.7,13633.7,,868.0,846.0,,,,
1146815,957.3,957.3,,78.0,82.0,27.0,34.1,38.2,
1146828,756.0,756.0,,72.0,64.0,21.6,32.6,36.2,
1146834,9137.3,9137.3,,536.0,1517.0,,,,
1146836,2056.0,2056.0,,176.0,160.0,27.7,34.8,39.4,
1146841,4267.7,4267.7,,257.0,332.0,21.9,29.2,33.7,
1146853,47896.0,47896.0,,3110.0,2819.0,,,,
1146860,9237.4,9221.6,9277.0,549.0,545.0,33.6,42.7,47.8,
1146871,2656.3,2656.3,,159.0,182.0,28.8,36.6,39.9,
1146904,6301.5,6334.0,6269.0,415.0,513.0,,,,
1146906,10057.7,10057.7,,720.0,691.0,33.2,42.3,47.1,
1146916,4357.3,4357.3,,289.0,345.0,27.6,36.0,39.5,
1146918,8777.0,8708.5,8845.5,629.0,551.0,,,,
1146936,1055.0,1055.0,,85.0,85.0,25.5,36.1,39.9,
1146997,43678.0,43678.0,,2054.0,3021.0,,,,
1146998,7116.0,7116.0,,390.0,470.0,,,,
1147008,12692.5,,12692.5,,,59.8,68.8,74.4,
1147019,9858.3,9858.3,,1184.0,969.0,,,,
1147026,22371.0,22371.0,,2135.0,1485.0,,,,
1147040,18771.3,18771.3,,1295.0,1505.0,,,,
1147042,8130.0,8130.0,,411.0,425.0,36.4,44.2,49.2,
1147102,21986.0,21986.0,,1349.0,1320.0,,,,0.181
1147124,7534.7,7534.7,,626.0,632.0,41.3,48.3,52.9,
1147135,24515.0,24515.0,,1175.0,3475.0,,,,
1147136,5378.3,5378.3,,480.0,446.0,,,,
1147141,6704.7,6704.7,,776.0,369.0,,,,
1147153,2689.0,2689.0,,313.0,234.0,,,,
1147157,22554.3,22554.3,,1597.0,2338.0,,,,
1147165,7483.0,7483.0,,556.0,404.0,,,,
1147171,23303.0,23303.0,,2018.0,1992.0,52.2,61.4,66.6,
1147196,22277.0,22277.0,,1511.0,1786.0,48.8,59.3,64.5,
1147197,3572.0,3572.0,,362.0,322.0,,,,
1147209,19131.0,19131.0,,1153.0,1565.0,52.7,59.9,64.5,
1147216,10716.0,10716.0,,805.0,849.0,51.4,60.0,64.8,
1147267,11278.0,11278.0,,772.0,898.0,,,,
1147278,2887.0,2887.0,,148.0,220.0,,,,
1147283,14468.7,14468.7,,657.0,2319.0,,,,
1147284,12117.3,12117.3,,760.0,1173.0,,,,
1147346,7163.3,7163.3,,640.0,574.0,,,,
1147352,13759.0,13759.0,,688.0,760.0,36.9,43.9,49.0,
