centreline_id,segment_length,crash_count
914600,94.40245082087296,0
914601,131.75229821301406,0
7862398,131.41616638708558,0
914587,92.7285089508503,0
6735911,92.98397361617553,0
11070060,96.98617580681427,0
914723,160.34820403185134,0
914707,108.90214719597283,0
7635977,80.84475165137543,0
7950241,108.4523516766049,0
7295819,215.1407426887754,0
7295873,98.25968284108583,0
7635500,60.53425289276383,0
7950331,101.33623156826656,0
7635643,100.53846150501046,0
914607,163.41967697208483,0
914608,95.99961907410112,0
7632579,146.00474002912068,0
914632,96.52746292131937,0
914631,145.51029908061432,0
7632843,48.71670907893677,0
7632680,222.02063199085384,0
914888,232.28064972037745,0
914926,204.53413145298498,0
14663228,155.41088387561174,0
14663198,143.77765463944422,0
914757,100.00923760274148,0
6027215,71.27719005657342,0
914856,8.646818219822709,51
914850,115.2548855713652,0
914881,226.20375439349982,0
914894,173.14349442413499,0
914914,92.21807834541124,0
914620,84.50177939256699,0
7370298,195.59421027324962,0
20060256,40.85361153545863,0
20090013,43.35629082716165,0
9950065,87.65349285995323,0
9950011,155.36071439720698,0
9950042,116.66544486074622,0
9949991,101.24543898721764,0
914733,81.78841063234998,0
3131839,68.80077929146772,0
914741,38.705051943598164,0
913886,227.106248089032,0
7399196,264.59739725108466,0
914028,295.71829848493826,0
913996,300.9370861094699,0
913880,210.24503193724374,0
7323735,19.056119679390378,30
913983,90.43180415213689,0
7323737,123.54906122443896,0
914222,1041.6011412142168,0
7323750,304.95993457050906,0
7323768,46.958346552760645,0
914176,52.78531268932201,0
914187,99.08135203829875,0
914170,256.2672106932154,0
914069,105.73808696240624,0
914070,259.2131824760196,0
914199,104.44232612586276,0
914210,252.84489729903345,0
5674887,253.31138433836833,0
914134,106.5843388028227,0
914156,98.7012733809883,0
914143,98.19942777219242,0
914157,260.2025674736862,0
914144,258.7804684248114,0
14302117,104.4216611680384,0
7640614,124.37884069691529,0
14301804,45.49116330207891,82
914720,114.99706901264774,0
914755,194.91001171212906,0
914742,147.2433687005826,0
914713,113.38513955130799,0
7640639,57.71843896161129,0
914695,115.1660951959323,0
14663234,369.02254944442313,0
9950578,117.47681590530819,0
5656576,92.23266181255197,0
914891,98.40847666784099,0
914871,340.00541572511463,0
7315520,107.43758433392674,0
7640120,91.66456363781967,0
914839,230.96228288955655,0
7640238,241.17674103628428,0
914787,135.1244526458331,0
7640263,125.04068661573238,0
7635990,96.4857457813258,0
7635955,95.20864233082202,0
914748,160.0694127907451,0
914776,159.5572534972834,0
9109465,95.71171748206298,0
914808,158.93759616357693,0
914795,93.80197347162915,0
914761,97.36760299860352,0
3163986,107.81117801112308,0
914857,175.72489536792943,0
914869,599.9936071902695,0
20090000,116.1136791623886,0
9950401,197.43910916903272,0
7283575,36.32182065348183,0
5662786,227.0908401876598,0
914599,49.05136536348159,0
914636,99.96885223256213,0
914745,101.78680077232345,0
914735,203.63368394105896,0
914746,202.99000732146988,0
7275212,105.31915346723174,0
914684,100.7709828122795,0
20060255,44.12548599949712,0
914686,113.51874612519269,0
914743,189.90915261151548,0
914750,131.2444045343268,0
7315591,112.94472772791799,0
7315610,38.82905473122315,2
7316200,59.22502180276245,0
20033831,47.40000187405889,0
7323227,60.154616914119856,0
7323243,31.718036377403166,7
914793,214.1701016849748,0
7323281,80.59627496811623,0
914810,90.04978935164597,0
914845,136.7747954089712,0
12220894,237.15771962363016,0
7304897,114.59624016678096,0
7304904,113.30458433756941,0
7950417,133.81178546883984,0
914852,131.71510417995347,0
7664563,37.0495360058175,144
7664573,99.68319173946385,0
914765,66.91972009709662,0
914740,309.44814310573327,0
20165448,33.49939266746902,0
9109234,450.81381624447374,0
7632407,262.0342816495558,0
914403,104.7508816168689,0
7344330,50.72611596293202,0
914375,42.72592861588003,16
914348,256.1851912988051,0
7324035,252.14554070586377,0
914225,104.03433946407456,0
9134207,151.94277607671208,0
914209,101.52116937988791,0
914296,252.42734314871254,0
9134249,103.63929883292546,0
7323985,100.97988931931171,0
914389,223.46762335135674,0
914278,250.98596093225314,0
914263,249.8362410551966,0
914253,249.75341843850995,0
7323826,32.444416788528166,14
7323846,102.09499195109008,0
7323838,99.94937566665392,0
7323819,158.2977069099035,0
7323813,93.91136087168516,0
914432,583.1783916074608,0
914380,407.08991112554446,0
914381,365.98784599207903,0
7635947,155.1130329845689,0
7950399,145.57881383839054,0
9109455,86.73656413209447,0
9109409,105.87691382802254,0
9109438,137.5153324006804,0
11070036,105.37822085095941,0
914789,136.43878347635123,0
9109392,115.17262850185266,0
20035033,76.77076531384176,0
6738361,238.58437643599316,0
914773,90.78059839698821,0
7288070,110.23698178827009,0
914769,116.36673001588494,0
7583851,118.15172118803883,0
914779,117.21463541341947,0
914778,119.58076393169384,0
914803,109.4712378449489,0
5674847,116.8289237404283,0
5656553,94.90415768646368,0
5656612,22.48639654872297,10
914861,96.70677731085823,0
914862,70.37244055966478,0
914848,101.05869511566523,0
914433,93.84179308641075,0
20080655,65.26467457577945,0
914422,99.26959347770466,0
914274,35.41564097965945,0
914306,80.93445529562683,0
914434,379.7618723544147,0
914443,380.26383340347354,0
914319,79.96685503893373,0
914320,87.91016576461998,0
914327,203.16432573587528,0
914326,190.7812064216883,0
8246672,503.5634707779316,0
914257,678.1277861489501,0
914073,577.5187346442532,0
3326929,164.63104464171212,0
914463,222.39740154574326,0
7640151,134.56554352576828,0
914439,98.61326344766748,0
914472,179.44615573267396,0
7640330,106.20456637272736,0
914487,179.5758864274436,0
5662896,37.3958850333044,1
914523,235.35785715926966,0
914524,100.86342574705118,0
914596,94.96831017481922,0
914559,95.96050265940603,0
914539,219.73005270169583,0
914486,59.06544635763684,0
914499,68.8108769763583,0
914504,22.824448049260983,3
7640341,113.79699941728862,0
7640421,90.45245271127035,0
7640718,103.50852454288554,0
7640776,80.42916542974994,0
914341,228.86076213168292,0
20080900,18.7740439144585,0
7640605,79.1653531194901,0
914428,288.07878219239575,0
914392,96.41346140081434,0
914387,18.955450056013223,2
3331569,95.16348237575667,0
914370,163.73529692534953,0
7640909,98.43678275781906,0
7640852,94.2435752777985,0
7640821,98.3881093471309,0
7640316,104.93397143956105,0
914569,95.88369054342353,0
914568,166.35327852416438,0
914530,169.79044986236957,0
914549,96.07919304531308,0
7635628,96.72269292605151,0
914598,291.50696484573956,0
914482,39.08963638026805,6
914478,89.39681120552714,0
914491,54.95673683467327,0
914500,44.50620938240563,0
914508,51.1083953135893,0
914509,97.86480031622501,0
914456,89.67300272467574,0
914446,380.87709462227036,0
914442,80.80129481695793,0
914445,81.6861021470515,0
20055788,172.67055699613513,0
914469,94.47398447611012,0
914579,289.32200789705803,0
8985248,77.52491937350901,0
8985235,81.31950181083963,0
20055831,151.596044093208,0
914565,84.34958302546842,0
7348804,76.47882795127806,0
6195276,101.93972939939118,0
6195238,13.334945687000463,8
6195239,90.35433041439545,0
8824030,187.143350495388,0
6195648,60.032940121836894,0
6231633,58.128346019900526,0
6231643,65.34974862452933,0
6231637,58.23230962369566,0
914414,97.64192154153568,0
7640800,96.03204249562653,0
914279,96.54096960290963,0
7640829,51.48472816590996,0
914135,257.6601839974255,0
914052,94.6622129203927,0
914062,92.72306146580274,0
914063,275.5643907801999,0
914053,276.4805691067727,0
7323670,151.47425224444493,0
914001,277.13176023782916,0
913984,275.192244530335,0
914016,279.65091232119454,0
7323589,18.459133626849,11
7323524,107.20977599627933,0
20078641,50.1566007902873,0
913964,96.84667642720599,0
20078642,48.74772811625344,0
14257955,11.426184760548217,0
913936,9.989376702348693,0
913922,23.821755358487042,0
20078979,94.90148082499162,0
913933,19.37298069648969,0
14257958,11.791331609501551,0
14257473,24.76296424393962,0
20079198,51.00055567100659,0
14256143,12.60193450178546,0
14257470,11.64583370177048,0
14257446,11.322178208329976,0
14256144,13.455857705886944,0
14257461,17.061911324461875,0
14256155,160.7233797647549,0
14630158,219.2792049200833,0
913876,22.204705120643546,0
913865,20.771271877707136,60
913896,80.52903748488919,0
14257458,86.74925229058316,0
913852,395.3657876941477,0
913862,109.56849301406754,0
913831,47.16395128867532,0
913893,144.56090406420338,0
913894,148.5153613916599,0
14256151,97.30769697457583,0
20051855,167.56480711214962,0
7325649,92.59069514266886,0
14066844,43.48391329819126,0
7324803,163.2192608700834,0
7325462,65.49374835445677,0
914020,20.589133658144895,0
914019,214.71705634757598,0
914021,110.90146636408495,0
914039,198.4572854843934,0
914038,197.45218332087018,0
14677046,35.70746744072237,6
20078461,56.509072770879705,0
914040,217.06255215097093,0
3324102,51.580911683810285,146
7641410,190.4287670386637,0
3324109,139.9524404508781,0
914048,19.575303273598408,0
914046,12.888989599783084,0
914044,15.015881307917898,0
914037,154.60278851380897,0
7324316,67.4169427988992,0
914051,95.91756875608797,0
7324228,60.665639071738234,0
914114,172.72701922025726,0
7641695,71.10584688429975,0
914282,254.2177805599051,0
914245,257.2965097553055,0
914313,248.6776156245068,0
7640973,162.7283369365801,0
3326990,101.11359566059818,0
3326944,110.27023814808457,0
7283615,105.56463722582498,0
3326930,90.06239375448216,0
914315,39.551870744955785,4
914314,92.59957822700373,0
914376,251.55044977386993,0
914390,93.60838872115033,0
914401,92.17282559534966,0
5662885,117.64967776616669,0
6735853,158.48428567868808,0
10636333,270.5036334409702,0
913573,259.10600820509416,0
913751,282.51723407313136,0
913731,185.1975716633319,0
913730,277.7446639634834,0
913703,252.99276461050405,0
913624,61.695902598789765,0
913589,21.332528271634526,0
913596,25.280404301093508,0
913605,25.667072771327128,298
913651,96.54935125033897,0
14256152,13.18876653694858,0
14256185,98.28718761969115,0
14256125,105.83977960084246,0
14256128,246.99983337315112,0
14257759,226.51779597833928,0
913836,18.7303102491673,0
913842,30.7369604820315,0
14257755,20.323274259711553,299
7283686,219.74268668952246,0
14257769,538.1412828612235,0
14256129,501.2832817340449,0
3327242,544.8546004203807,0
14256201,56.3211031450153,4
913968,42.14250117052882,0
14256198,87.11333511277408,0
14256124,21.897698589612293,0
20078717,47.967001432026876,0
20078655,54.50996795050701,0
20078656,7.661446273906408,0
7641251,92.55292173852781,0
7641265,36.58962158180792,5
914118,101.49364599409938,0
914083,153.92513836585525,0
13990836,132.1574468034606,0
13990823,108.99624064815238,0
20078718,48.574696937389525,0
5503970,238.68606831834595,0
7641066,100.47952688150544,0
914208,237.15762764252807,0
914121,43.62477548313759,0
5504128,200.06418446339765,0
914195,96.28141793642591,0
8676989,196.97730949916905,0
8676973,220.01200666432857,0
914117,19.368527124330214,5
3327055,97.57561518738804,0
7641278,80.0983799204429,0
913698,142.28980274780406,0
5504246,190.7717400745878,0
14627900,36.241439734821384,0
14627901,24.066748849499717,0
913822,161.25853749333447,0
913758,33.960326679067485,0
913750,119.65102771185542,0
