route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
100,1,50089357,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196777,1100982,1,1
100,1,50089356,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089355,South - 100A Flemingdon Park towards Broadview Station,A,0,2196789,1100983,1,1
100,1,50089354,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196771,1100982,1,1
100,1,50089353,South - 100A Flemingdon Park towards Broadview Station,A,0,2196779,1100983,1,1
100,1,50089352,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089351,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196778,1100982,1,1
100,1,50089350,South - 100A Flemingdon Park towards Broadview Station,A,0,2196785,1100983,1,1
100,1,50089349,South - 100A Flemingdon Park towards Broadview Station,A,0,2196784,1100983,1,1
100,1,50089348,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196783,1100982,1,1
100,1,50089347,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089346,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089345,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196782,1100982,1,1
100,1,50089344,South - 100A Flemingdon Park towards Broadview Station,A,0,2196781,1100983,1,1
100,1,50089343,South - 100A Flemingdon Park towards Broadview Station,A,0,2196780,1100983,1,1
100,1,50089342,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196777,1100982,1,1
100,1,50089341,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089340,South - 100A Flemingdon Park towards Broadview Station,A,0,2196789,1100983,1,1
100,1,50089339,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196771,1100982,1,1
100,1,50089338,South - 100A Flemingdon Park towards Broadview Station,A,0,2196779,1100983,1,1
100,1,50089337,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089336,South - 100A Flemingdon Park towards Broadview Station,A,0,2196785,1100983,1,1
100,1,50089335,South - 100A Flemingdon Park towards Broadview Station,A,0,2196784,1100983,1,1
100,1,50089334,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089333,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089332,South - 100A Flemingdon Park towards Broadview Station,A,0,2196781,1100983,1,1
100,1,50089331,South - 100A Flemingdon Park towards Broadview Station,A,0,2196777,1100983,1,1
100,1,50089330,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089329,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089328,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089327,South - 100A Flemingdon Park towards Broadview Station,A,0,2196785,1100983,1,1
100,1,50089326,South - 100A Flemingdon Park towards Broadview Station,A,0,2196784,1100983,1,1
100,1,50089325,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089324,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089323,South - 100A Flemingdon Park towards Broadview Station,A,0,2196781,1100983,1,1
100,1,50089322,South - 100A Flemingdon Park towards Broadview Station,A,0,2196777,1100983,1,1
100,1,50089321,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089320,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089319,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089318,South - 100A Flemingdon Park towards Broadview Station,A,0,2196785,1100983,1,1
100,1,50089317,South - 100A Flemingdon Park towards Broadview Station,A,0,2196784,1100983,1,1
100,1,50089316,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089315,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089314,South - 100A Flemingdon Park towards Broadview Station,A,0,2196781,1100983,1,1
100,1,50089313,South - 100A Flemingdon Park towards Broadview Station,A,0,2196777,1100983,1,1
100,1,50089312,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089311,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089310,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089309,South - 100A Flemingdon Park towards Broadview Station,A,0,2196785,1100983,1,1
100,1,50089308,South - 100A Flemingdon Park towards Broadview Station,A,0,2196784,1100983,1,1
100,1,50089307,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089306,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089305,South - 100A Flemingdon Park towards Broadview Station,A,0,2196781,1100983,1,1
100,1,50089304,South - 100A Flemingdon Park towards Broadview Station,A,0,2196777,1100983,1,1
100,1,50089302,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089301,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089300,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196787,1100982,1,1
100,1,50089299,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089298,South - 100A Flemingdon Park towards Broadview Station,A,0,2196785,1100983,1,1
100,1,50089297,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196775,1100982,1,1
100,1,50089296,South - 100A Flemingdon Park towards Broadview Station,A,0,2196784,1100983,1,1
100,1,50089295,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089294,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196786,1100982,1,1
100,1,50089293,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089292,South - 100A Flemingdon Park towards Broadview Station,A,0,2196781,1100983,1,1
100,1,50089291,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196777,1100982,1,1
100,1,50089290,South - 100A Flemingdon Park towards Broadview Station,A,0,2196788,1100983,1,1
100,1,50089289,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089288,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196771,1100982,1,1
100,1,50089287,South - 100A Flemingdon Park towards Broadview Station,A,0,2196787,1100983,1,1
100,1,50089286,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089285,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196785,1100982,1,1
100,1,50089284,South - 100A Flemingdon Park towards Broadview Station,A,0,2196775,1100983,1,1
100,1,50089283,South - 100A Flemingdon Park towards Broadview Station,A,0,2196784,1100983,1,1
100,1,50089282,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196774,1100982,1,1
100,1,50089281,South - 100A Flemingdon Park towards Broadview Station,A,0,2196786,1100983,1,1
100,1,50089280,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089279,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196781,1100982,1,1
100,1,50089278,South - 100A Flemingdon Park towards Broadview Station,A,0,2196777,1100983,1,1
100,1,50089277,South - 100A Flemingdon Park towards Broadview Station,A,0,2196788,1100983,1,1
100,1,50089276,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196772,1100982,1,1
100,1,50089275,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089274,South - 100A Flemingdon Park towards Broadview Station,A,0,2196787,1100983,1,1
100,1,50089273,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196776,1100982,1,1
100,1,50089272,South - 100A Flemingdon Park towards Broadview Station,A,0,2196785,1100983,1,1
100,1,50089271,South - 100A Flemingdon Park towards Broadview Station,A,0,2196775,1100983,1,1
100,1,50089270,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196784,1100982,1,1
100,1,50089269,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089268,South - 100A Flemingdon Park towards Broadview Station,A,0,2196786,1100983,1,1
100,1,50089267,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196773,1100982,1,1
100,1,50089266,South - 100A Flemingdon Park towards Broadview Station,A,0,2196781,1100983,1,1
100,1,50089265,South - 100A Flemingdon Park towards Broadview Station,A,0,2196777,1100983,1,1
